ZCTA5,CBSA,MEMI,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,MPOP,MHU,MAREA,MAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
00757,42180,2,23263,9571,82856806,77246859,23263,9571,82856806,77246859,23274,9575,199284809,88119917,100,100,100,100,99.95,99.96,41.58,87.66
00766,38660,1,26073,9710,95921197,92298550,26488,9947,107440784,103701762,243147,99359,874803803,545648108,98.43,97.62,89.28,89,10.72,9.77,10.96,16.92
00766,41980,1,415,237,11519587,11403212,26488,9947,107440784,103701762,2478905,1073552,5223033344,4117856690,1.57,2.38,10.72,11,.02,.02,.22,.28
00767,41980,1,38019,15831,150306377,143501366,38019,15831,150306377,143501366,2478905,1073552,5223033344,4117856690,100,100,100,100,1.53,1.47,2.88,3.48
00769,17620,2,40248,16612,198207392,198168393,40248,16612,198207392,198168393,71590,31096,497661896,381705801,100,100,100,100,56.22,53.42,39.83,51.92
00771,41980,1,38394,16142,87623561,87591047,38394,16142,87623561,87591047,2478905,1073552,5223033344,4117856690,100,100,100,100,1.55,1.5,1.68,2.13
00772,41980,1,23105,10211,51615236,37975532,23105,10211,51615236,37975532,2478905,1073552,5223033344,4117856690,100,100,100,100,.93,.95,.99,.92
00773,21940,1,20068,10968,65536492,62964008,20068,10968,65536492,62964008,70692,38114,804692323,219399913,100,100,100,100,28.39,28.78,8.14,28.7
00777,41980,1,40684,16867,69172142,68844419,40684,16867,69172142,68844419,2478905,1073552,5223033344,4117856690,100,100,100,100,1.64,1.57,1.32,1.67
00778,41980,1,45429,18127,77893209,76776403,45429,18127,77893209,76776403,2478905,1073552,5223033344,4117856690,100,100,100,100,1.83,1.69,1.49,1.86
00780,38660,1,13800,5295,52870908,52032587,13800,5295,52870908,52032587,243147,99359,874803803,545648108,100,100,100,100,5.68,5.33,6.04,9.54
00782,41980,1,19304,7535,69328497,69008763,19304,7535,69328497,69008763,2478905,1073552,5223033344,4117856690,100,100,100,100,.78,.7,1.33,1.68
00783,41980,1,36557,13798,108398610,108382318,36557,13798,108398610,108382318,2478905,1073552,5223033344,4117856690,100,100,100,100,1.47,1.29,2.08,2.63
00784,25020,1,44637,19159,160166753,143887987,44637,19159,160166753,143887987,84214,37946,564011616,328148208,100,100,100,100,53,50.49,28.4,43.85
00786,41980,1,357,145,666250,666250,357,145,666250,666250,2478905,1073552,5223033344,4117856690,100,100,100,100,.01,.01,.01,.02
00791,41980,1,53417,25871,98579613,95711037,53417,25871,98579613,95711037,2478905,1073552,5223033344,4117856690,100,100,100,100,2.15,2.41,1.89,2.32
00794,17620,2,88,30,565071,565071,30585,11502,91497608,91419799,71590,31096,497661896,381705801,.29,.26,.62,.62,.12,.1,.11,.15
00794,41980,1,30497,11472,90932537,90854728,30585,11502,91497608,91419799,2478905,1073552,5223033344,4117856690,99.71,99.74,99.38,99.38,1.23,1.07,1.74,2.21
00795,38660,1,48736,19196,120770024,119811901,48736,19196,120770024,119811901,243147,99359,874803803,545648108,100,100,100,100,20.04,19.32,13.81,21.96
00901,41980,1,7080,4990,2564639,2534091,7080,4990,2564639,2534091,2478905,1073552,5223033344,4117856690,100,100,100,100,.29,.46,.05,.06
00906,41980,1,4,168,8247,8247,4,168,8247,8247,2478905,1073552,5223033344,4117856690,100,100,100,100,0,.02,0,0
